0.148556093 10.0.0.1:56451 10.0.0.2:5001 32 0xed062947 0xed03f94f 99 2147483647 170496 11 29696
0.149918172 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.152172018 10.0.0.1:56451 10.0.0.2:5001 32 0xed064b37 0xed040a47 102 2147483647 170496 12 29696
0.153556064 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.155815147 10.0.0.1:56451 10.0.0.2:5001 32 0xed066d27 0xed041b3f 105 2147483647 170496 12 29696
0.157187226 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.159442695 10.0.0.1:56451 10.0.0.2:5001 32 0xed067e1f 0xed042c37 106 105 170496 13 29696
0.160823401 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.163097351 10.0.0.1:56451 10.0.0.2:5001 32 0xed068f17 0xed043d2f 106 105 170496 13 29696
0.164459074 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 170496
0.166629653 10.0.0.1:56451 10.0.0.2:5001 32 0xed06a00f 0xed044e27 106 105 170496 14 29696
0.168088494 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 179200
0.170357555 10.0.0.1:56451 10.0.0.2:5001 32 0xed06b107 0xed045f1f 106 105 179200 14 29696
0.171724349 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 187904
0.173995442 10.0.0.1:56451 10.0.0.2:5001 32 0xed06c1ff 0xed047017 106 105 187904 15 29696
0.175330007 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 196608
0.177585432 10.0.0.1:56451 10.0.0.2:5001 32 0xed06d2f7 0xed04810f 106 105 196608 16 29696
0.178995512 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 205312
0.181257648 10.0.0.1:56451 10.0.0.2:5001 32 0xed06ef3f 0xed049207 107 105 205312 16 29696
0.182626391 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 214016
0.184883533 10.0.0.1:56451 10.0.0.2:5001 32 0xed070037 0xed04a2ff 107 105 214016 16 29696
0.186235495 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 222720
0.188456126 10.0.0.1:56451 10.0.0.2:5001 32 0xed07112f 0xed04b3f7 107 105 222720 17 29696
0.189889429 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 231424
0.192135127 10.0.0.1:56451 10.0.0.2:5001 32 0xed072227 0xed04c4ef 107 105 231424 18 29696
0.193523733 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 240128
0.195783054 10.0.0.1:56451 10.0.0.2:5001 32 0xed07331f 0xed04d5e7 107 105 240128 18 29696
0.197159868 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 248832
0.199415186 10.0.0.1:56451 10.0.0.2:5001 32 0xed074417 0xed04e6df 107 105 248832 18 29696
0.200807746 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 257536
0.203058355 10.0.0.1:56451 10.0.0.2:5001 32 0xed075ab7 0xed04f7d7 108 105 257536 19 29696
0.204427632 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 266240
0.206685856 10.0.0.1:56451 10.0.0.2:5001 32 0xed076baf 0xed0508cf 108 105 266240 19 29696
0.208058338 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 274944
0.210318697 10.0.0.1:56451 10.0.0.2:5001 32 0xed077ca7 0xed0519c7 108 105 274944 20 29696
0.211692669 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 283648
0.213952662 10.0.0.1:56451 10.0.0.2:5001 32 0xed0787f7 0xed052abf 108 105 283648 20 29696
0.215323849 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 292352
0.217501549 10.0.0.1:56451 10.0.0.2:5001 32 0xed079e97 0xed053bb7 108 105 292352 21 29696
0.218960426 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 301056
0.221150114 10.0.0.1:56451 10.0.0.2:5001 32 0xed07a9e7 0xed054caf 108 105 301056 21 29696
0.222592868 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.224849543 10.0.0.1:56451 10.0.0.2:5001 32 0xed07c087 0xed055da7 109 105 307200 21 29696
0.226227578 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.228488956 10.0.0.1:56451 10.0.0.2:5001 32 0xed07d727 0xed056e9f 109 105 307200 22 29696
0.229871917 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.232128406 10.0.0.1:56451 10.0.0.2:5001 32 0xed07e277 0xed057f97 109 105 307200 22 29696
0.233497786 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.235760172 10.0.0.1:56451 10.0.0.2:5001 32 0xed07f917 0xed05908f 109 105 307200 23 29696
0.237127227 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.239383151 10.0.0.1:56451 10.0.0.2:5001 32 0xed080467 0xed05a187 109 105 307200 23 29696
0.240759755 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.243007340 10.0.0.1:56451 10.0.0.2:5001 32 0xed081b07 0xed05b27f 109 105 307200 24 29696
0.244394412 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.246650391 10.0.0.1:56451 10.0.0.2:5001 32 0xed0831a7 0xed05c377 110 105 307200 24 29696
0.248028298 10.0.0.2:5001 10.0.0.1:56451 4376 0x80340eb 0x80340eb 10 2147483647 29696 2 307200
0.250196571 10.0.0.1:56451 10.0.0.2:5001 32 0xed083cf7 0xed05d46f 110 105 307200 24 29696
