20160427235445,10.0.0.5,55675,10.0.0.6,5001,3,0.0-1.0,393216,3145728
20160427235446,10.0.0.5,55675,10.0.0.6,5001,3,1.0-2.0,393216,3145728
20160427235447,10.0.0.5,55675,10.0.0.6,5001,3,2.0-3.0,262144,2097152
20160427235448,10.0.0.5,55675,10.0.0.6,5001,3,3.0-4.0,262144,2097152
20160427235449,10.0.0.5,55675,10.0.0.6,5001,3,4.0-5.0,262144,2097152
20160427235450,10.0.0.5,55675,10.0.0.6,5001,3,5.0-6.0,393216,3145728
20160427235450,10.0.0.5,55675,10.0.0.6,5001,3,6.0-7.0,0,0
20160427235451,10.0.0.5,55675,10.0.0.6,5001,3,7.0-8.0,262144,2097152
20160427235453,10.0.0.5,55675,10.0.0.6,5001,3,8.0-9.0,524288,4194304
20160427235454,10.0.0.5,55675,10.0.0.6,5001,3,9.0-10.0,262144,2097152
20160427235454,10.0.0.5,55675,10.0.0.6,5001,3,10.0-11.0,131072,1048576
20160427235455,10.0.0.5,55675,10.0.0.6,5001,3,11.0-12.0,262144,2097152
20160427235456,10.0.0.5,55675,10.0.0.6,5001,3,12.0-13.0,262144,2097152
20160427235458,10.0.0.5,55675,10.0.0.6,5001,3,13.0-14.0,393216,3145728
20160427235459,10.0.0.5,55675,10.0.0.6,5001,3,14.0-15.0,262144,2097152
20160427235500,10.0.0.5,55675,10.0.0.6,5001,3,15.0-16.0,262144,2097152
20160427235501,10.0.0.5,55675,10.0.0.6,5001,3,16.0-17.0,262144,2097152
20160427235502,10.0.0.5,55675,10.0.0.6,5001,3,17.0-18.0,262144,2097152
20160427235502,10.0.0.5,55675,10.0.0.6,5001,3,18.0-19.0,131072,1048576
20160427235503,10.0.0.5,55675,10.0.0.6,5001,3,19.0-20.0,262144,2097152
20160427235505,10.0.0.5,55675,10.0.0.6,5001,3,20.0-21.0,262144,2097152
20160427235506,10.0.0.5,55675,10.0.0.6,5001,3,21.0-22.0,262144,2097152
20160427235507,10.0.0.5,55675,10.0.0.6,5001,3,22.0-23.0,262144,2097152
20160427235509,10.0.0.5,55675,10.0.0.6,5001,3,23.0-24.0,262144,2097152
20160427235509,10.0.0.5,55675,10.0.0.6,5001,3,24.0-25.0,131072,1048576
20160427235509,10.0.0.5,55675,10.0.0.6,5001,3,25.0-26.0,262144,2097152
20160427235511,10.0.0.5,55675,10.0.0.6,5001,3,26.0-27.0,262144,2097152
20160427235511,10.0.0.5,55675,10.0.0.6,5001,3,27.0-28.0,262144,2097152
20160427235512,10.0.0.5,55675,10.0.0.6,5001,3,28.0-29.0,524288,4194304
20160427235513,10.0.0.5,55675,10.0.0.6,5001,3,29.0-30.0,262144,2097152
20160427235513,10.0.0.5,55675,10.0.0.6,5001,3,0.0-30.2,8388608,2220066
