1461826379,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s1-eth3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s1-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s2-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s2-eth2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,eth0,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826379,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826380,s1-eth1,1223306.00,27258.00,1250564.00,27258,1223306,413.00,413.00,826.00,413,413,0.00,0.00,0,0
1461826380,s1-eth3,13266.00,624982.00,638248.00,624982,13266,201.00,211.00,412.00,211,201,0.00,0.00,0,0
1461826380,s1-eth2,13992.00,657564.00,671556.00,657564,13992,212.00,222.00,434.00,222,212,0.00,0.00,0,0
1461826380,s2-eth1,624982.00,13266.00,638248.00,13266,624982,211.00,201.00,412.00,201,211,0.00,0.00,0,0
1461826380,s2-eth2,13266.00,624982.00,638248.00,624982,13266,201.00,211.00,412.00,211,201,0.00,0.00,0,0
1461826380,eth0,134.00,66.00,200.00,66,134,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1461826380,eth1,90.00,180.00,270.00,180,90,1.00,2.00,3.00,2,1,0.00,0.00,0,0
1461826380,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826380,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826380,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826380,total,1889036.00,1948298.00,3837334.00,1948298,1889036,1240.00,1261.00,2501.00,1261,1240,0.00,0.00,0,0
1461826381,s1-eth1,1223306.00,27258.00,1250564.00,27258,1223306,413.00,413.00,826.00,413,413,0.00,0.00,0,0
1461826381,s1-eth3,13728.00,645716.00,659444.00,645716,13728,208.00,218.00,426.00,218,208,0.00,0.00,0,0
1461826381,s1-eth2,13530.00,630906.00,644436.00,630906,13530,205.00,213.00,418.00,213,205,0.00,0.00,0,0
1461826381,s2-eth1,645716.00,13728.00,659444.00,13728,645716,218.00,208.00,426.00,208,218,0.00,0.00,0,0
1461826381,s2-eth2,13728.00,645716.00,659444.00,645716,13728,208.00,218.00,426.00,218,208,0.00,0.00,0,0
1461826381,eth0,134.00,66.00,200.00,66,134,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1461826381,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826381,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826381,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826381,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826381,total,1910142.00,1963390.00,3873532.00,1963390,1910142,1253.00,1271.00,2524.00,1271,1253,0.00,0.00,0,0
1461826382,s1-eth1,1220344.00,27126.00,1247470.00,27126,1220344,412.00,411.00,823.00,411,412,0.00,0.00,0,0
1461826382,s1-eth3,13596.00,633868.00,647464.00,633868,13596,206.00,214.00,420.00,214,206,0.00,0.00,0,0
1461826382,s1-eth2,13596.00,642754.00,656350.00,642754,13596,206.00,217.00,423.00,217,206,0.00,0.00,0,0
1461826382,s2-eth1,633868.00,13596.00,647464.00,13596,633868,214.00,206.00,420.00,206,214,0.00,0.00,0,0
1461826382,s2-eth2,13530.00,633868.00,647398.00,633868,13530,205.00,214.00,419.00,214,205,0.00,0.00,0,0
1461826382,eth0,134.00,66.00,200.00,66,134,1.00,1.00,2.00,1,1,0.00,0.00,0,0
1461826382,eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826382,lo,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826382,s1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826382,s2,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1461826382,total,1895068.00,1951278.00,3846346.00,1951278,1895068,1244.00,1263.00,2507.00,1263,1244,0.00,0.00,0,0
1461826383,s1-eth1,1220344.00,27258.00,1247602.00,27258,1220344,412.00,413.00,825.00,413,412,0.00,0.00,0,0
1461826383,s1-eth3,13242.00,622062.00,635304.00,622062,13242,201.00,211.00,412.00,211,201,0.00,0.00,0,0
1461826383,s1-eth2,14034.00,654644.00,668678.00,654644,14034,213.00,222.00,435.00,222,213,0.00,0.00,0,0
1461826383,s2-eth1,622062.00,13242.00,635304.00,13242,622062,211.00,201.00,412.00,201,211,0.00,0.00,0,0
